世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.03857088088989258,1712,1712,0
1,17695533694976,134217728,35184372088832,0.3839397430419922,16250,16250,0
2,17626814218240,35253225783296,70368744177664,0.09865784645080566,4393,4393,0
3,123179930484736,68853694464,8796093022208,1.3169894218444824,54973,54957,16
4,123145570746368,8899306455040,4398046511104,0.1410055160522461,6137,6123,14
5,136374070018048,68853694464,2251799813685248,3.345607042312622,142479,142427,52
6,127543617257472,2260699120140288,1152921504606846976,0.350383996963501,15276,15269,7
7,1155300848037789696,8899306455040,140737488355328,5.295536518096924,225751,225741,10
8,1155177702735478784,272782097121280,4503599627370496,0.3798501491546631,16438,16438,0
9,1159698963268370432,255121191600128,137438953472,8.533580780029297,367757,367747,10
10,1159698894548893696,255327350030336,1073741824,1.0187432765960693,44287,44287,0
11,1159699033061588992,255189911076864,524288,14.019967555999756,599614,599614,0
12,1159698895354200064,255327618990080,17179869184,1.1033368110656738,47588,47588,0
13,1159707708627091456,246531525967872,8388608,12.535432577133179,533830,533830,0
14,1159707707553349632,246532608098304,274877906944,1.2005388736724854,44855,44855,0
15,1159743407321513984,211107717840896,288230376151711744,18.740670919418335,771128,771128,0
16,1157473877882830848,290711013308235776,536870912,2.6101036071777344,108629,108629,0
17,1157474015858655232,290710875869282304,1048576,35.42452621459961,1467745,1467745,0
18,1157473740443877376,290711151285108736,262144,4.689260482788086,188464,188464,0
19,1157473740578357248,290711151150891008,1125899906842624,42.87050986289978,1745139,1745139,0
20,1157464875765858304,291845915870232576,2097152,5.634201526641846,232183,232183,0
21,1157464876574834688,291845915063353344,67108864,63.01871991157532,2589205,2589205,0
22,1157460426049191936,291850365656104960,2199023255552,3.956138849258423,162836,162836,0
23,1157493428712112128,291819562016440320,1099511627776,109.65057396888733,4556803,4556803,0
24,1157425258991190016,291888831248990208,9007199254740992,5.148624658584595,220187,220187,0
25,1166467642618019840,291853646876901376,4611686018427387904,71.4120364189148,3002498,3002498,0
26,1157460443363278848,4912546864559030272,33554432,4.974358558654785,212443,212443,0
27,1157460443463942144,4912546864491921408,65536,80.66778230667114,3438486,3438486,0
28,1157460426250518528,4912546881705410560,8589934592,4.59915018081665,200759,200759,0
29,1159716752959733760,4910290563586129920,131072,63.98939609527588,2784027,2784027,0
30,1159716718532886528,4910290598013108224,512,5.700625419616699,253205,253205,0
31,1159716718566572544,4910290597979422720,256,94.9855751991272,4137794,4137794,0
32,1159716718566441472,4910290597979554048,4194304,4.5470030307769775,200627,200627,0
33,1159716719107506688,4910290597442683136,32768,64.10294890403748,2776500,2776500,0
34,1159716649846964736,4910290666703257856,2305843009213693952,2.9995102882385254,132120,132120,0
35,3474566858315399680,4901283467448516864,576460752303423488,37.001489877700806,1606618,1606618,0
36,9011760681714176,8943299317385625856,18014398509481984,1.6373634338378906,73301,73301,0
37,27061412282761728,8943264064294060288,562949953421312,25.96210503578186,1122148,1122148,0
38,27057014236250624,8943831412293992704,72057594037927936,1.3982176780700684,60288,60288,0
39,99681990902284800,8943264029665886464,8192,18.823636531829834,809289,809289,0
40,99681973585052160,8943264046983127296,549755813888,1.9699749946594238,85983,85983,0
41,99753166962950656,8943193403361042688,2147483648,22.03020429611206,947992,947992,0
42,99717157957140992,8943229414514336000,144115188075855872,0.6577632427215576,28862,28862,0
43,244967042032861696,8942094718514471168,9223372036854775808,8.297168970108032,351826,351826,0
44,226952643523379712,18183481153878728960,36028797018963968,0.5695128440856934,24482,24482,0
45,280995839051825664,18165466755369246976,4096,4.654099225997925,197907,197907,0
46,280995839051301376,18165466755369775360,128,0.57016921043396,25288,25288,0
47,281137128451375744,18165325465969701120,4,2.5642855167388916,108669,108669,0
48,281137128451375232,18165325465969701636,32,0.37401795387268066,16442,16442,0
49,281137129057988768,18165325465363088132,64,1.2417964935302734,52678,52678,0
50,281137129057980576,18165325465363096388,1,0.1551225185394287,6638,6638,0
51,281137129057981089,18165325465363095876,8,0.5578444004058838,22314,22314,0
52,281137129055879841,18165325465365197132,16777216,0.07031083106994629,3017,3017,0
53,281137129072722849,18165325465365131340,4294967296,0.09976005554199219,4161,4161,0
54,281137120482788257,18165325478250033228,281474976710656,0.016648054122924805,701,701,0
55,281419699266093985,18165324374443438156,2048,0.0010499954223632812,67,44,23
56,281419699265569697,18165324374443964492,16384,0.00024366378784179688,15,10,5
57,281419975223526305,18165324098486024268,1024,0.00023674964904785156,12,9,3
58,281419975156155297,18165324098553396300,16,5.698204040527344e-05,3,2,1
59,281419975157480369,18165324098552071244,2,3.123283386230469e-05,1,1,0
60,281419975157479857,18165324098552071758,,,,,
