世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.03883647918701172,1712,1712,0
1,17695533694976,134217728,35184372088832,0.37488770484924316,16250,16250,0
2,17626814218240,35253225783296,70368744177664,0.10002946853637695,4393,4393,0
3,123179930484736,68853694464,8796093022208,1.2831759452819824,54973,54957,16
4,123145570746368,8899306455040,4398046511104,0.16173958778381348,6137,6123,14
5,136374070018048,68853694464,2251799813685248,3.2823517322540283,142479,142427,52
6,127543617257472,2260699120140288,1152921504606846976,0.34804630279541016,15276,15269,7
7,1155300848037789696,8899306455040,140737488355328,5.239814758300781,225751,225741,10
8,1155177702735478784,272782097121280,4503599627370496,0.3969533443450928,16438,16438,0
9,1159698963268370432,255121191600128,137438953472,8.531801223754883,367757,367747,10
10,1159698894548893696,255327350030336,1073741824,1.0146524906158447,44287,44287,0
11,1159699033061588992,255189911076864,524288,13.819241523742676,599614,599614,0
12,1159698895354200064,255327618990080,17179869184,1.1013123989105225,47588,47588,0
13,1159707708627091456,246531525967872,8388608,12.352721691131592,533830,533830,0
14,1159707707553349632,246532608098304,274877906944,1.0388374328613281,44855,44855,0
15,1159743407321513984,211107717840896,288230376151711744,17.843390226364136,771128,771128,0
16,1157473877882830848,290711013308235776,536870912,2.5028562545776367,108629,108629,0
17,1157474015858655232,290710875869282304,1048576,34.250235080718994,1467745,1467745,0
18,1157473740443877376,290711151285108736,262144,4.370453119277954,188464,188464,0
19,1157473740578357248,290711151150891008,1125899906842624,40.83871793746948,1745139,1745139,0
20,1157464875765858304,291845915870232576,2097152,5.433720588684082,232183,232183,0
21,1157464876574834688,291845915063353344,67108864,59.779491662979126,2589205,2589205,0
22,1157460426049191936,291850365656104960,2199023255552,3.7695388793945312,162836,162836,0
23,1157493428712112128,291819562016440320,1099511627776,103.37570071220398,4556803,4556803,0
24,1157425258991190016,291888831248990208,9007199254740992,5.046025037765503,220187,220187,0
25,1166467642618019840,291853646876901376,4611686018427387904,68.47488570213318,3002498,3002498,0
26,1157460443363278848,4912546864559030272,33554432,4.888918161392212,212443,212443,0
27,1157460443463942144,4912546864491921408,65536,77.94799304008484,3438486,3438486,0
28,1157460426250518528,4912546881705410560,8589934592,4.611623287200928,200759,200759,0
29,1159716752959733760,4910290563586129920,131072,62.87805485725403,2784027,2784027,0
30,1159716718532886528,4910290598013108224,512,5.759898662567139,253205,253205,0
31,1159716718566572544,4910290597979422720,8192,93.46326327323914,4137794,4137794,0
32,1159716701249339904,4910290615296663552,2147483648,7.402324438095093,323018,323018,0
33,1159716980355105280,4910290338338381824,549755813888,115.05130052566528,5124255,5124255,0
34,1159716496097542656,4910291372351758336,2305843009213693952,6.898081064224243,303476,303476,0
35,3474566704565977600,4901284173097017344,576460752303423488,54.524040937423706,2411562,2411562,0
36,9011606932292096,8943300023034126336,18014398509481984,3.8920037746429443,170652,170652,0
37,27061258533339648,8943264769942560768,4194304,29.341859102249146,1290012,1290012,0
38,27061189276992000,8943264839203102720,32,1.8318638801574707,80877,80877,0
39,27061327254921760,8943264701225172992,1,36.24700689315796,1590220,1590220,0
40,27061327120441376,8943264701359653377,2048,2.737520217895508,119530,119530,0
41,27061327121754144,8943264701358342657,256,20.762894868850708,907827,907827,0
42,27061327054514208,8943264701425582849,16384,1.2103395462036133,53092,53092,0
43,27131971754551328,8943194056725562113,32768,8.737749576568604,382786,382786,0
44,27131971213486112,8943194057266660097,2,0.2005596160888672,8756,8756,0
45,27131971213617698,8943194057266528513,128,2.4139668941497803,103634,103634,0
46,27131970943068706,8943194057537077633,4096,0.2443544864654541,9979,9979,0
47,27131970945169954,8943194057534980481,64,1.371281385421753,60322,60322,0
48,27131970944113186,8943194057536037313,562949953421312,0.0208590030670166,915,915,0
49,35578419268688418,8935310559164883393,36028797018963968,0.3314814567565918,14510,14510,0
50,35507913085557282,8971409862366978497,9223372036854775808,0.2467808723449707,10713,10713,0
51,17458330203986466,18212831482103325121,144115188075855872,0.14354896545410156,5389,5389,0
52,16332430297143842,18358072570086023617,16,0.05222487449645996,1978,1978,0
53,16332430297139714,18358072570086027761,8,0.002409696578979492,98,98,0
54,16332430297143818,18358072570086023665,72057594037927936,0.0003330707550048828,21,12,9
55,15765082297211402,18430697512123884017,281474976710656,0.00030350685119628906,15,11,4
56,17735407134185994,18429008662263620081,4294967296,0.0002472400665283203,14,10,4
57,16607299580334602,18430136774112438769,16777216,0.00022101402282714844,10,9,1
58,16612811080339978,18430131262629210609,1024,6.079673767089844e-05,3,2,1
59,16612810811379722,18430131262898171889,4,3.218650817871094e-05,1,1,0
60,16612810812693518,18430131262896858097,,,,,
