世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.03965163230895996,1712,1712,0
1,34762915840,68719476736,17179869184,0.38394713401794434,16250,16250,0
2,403177472,120259084288,35184372088832,0.13508248329162598,5457,5456,1
3,35253494743040,51539607552,1048576,1.3349592685699463,56996,56994,2
4,35253360525312,51674873856,2097152,0.4659385681152344,20102,20102,0
5,35253363671040,51673825280,18014398509481984,4.732405662536621,190702,190686,16
6,272105472,18049703274872832,17592186044416,0.42169880867004395,15551,15551,0
7,17661177626624,18049634555396096,9007199254740992,10.5896635055542,443848,443848,0
8,68991582208,27074425996181504,9223372036854775808,1.0715177059173584,45880,45880,0
9,9241421688727928832,9024843114610688,137438953472,14.753432035446167,593915,593915,0
10,9241386435636363264,9060233645129728,262144,1.5633203983306885,62294,62294,0
11,9241421688862408704,9024980419346432,70368744177664,23.3247127532959,949321,949321,0
12,9241386504490319872,9130533535612928,36028797018963968,1.6901419162750244,70045,70045,0
13,9277485807692414976,9060027352481792,549755813888,33.63236594200134,1381552,1381552,0
14,9277415438948237312,9130945852473344,2305843009213693952,1.841925859451294,77973,77973,0
15,11592300831788761088,88562225643520,4611686018427387904,27.90064239501953,1149967,1149967,0
16,11565279234024538112,4638796178417254400,140737488355328,1.199706792831421,50121,50121,0
17,11583504738766553088,4620711411163594752,1152921504606846976,20.49388861656189,837948,837948,0
18,9277661729552859136,8079475924984135680,576460752303423488,0.9996187686920166,41716,41716,0
19,17924573014104211456,9025392736206848,536870912,13.710652112960815,563777,563777,0
20,17924537692293169152,9060715084120064,2147483648,1.8610451221466064,77318,77318,0
21,17924538244196466688,9060165328306176,8796093022208,17.195605516433716,704399,704399,0
22,17924538175476989952,9069030140805120,4398046511104,1.3599789142608643,55788,55788,0
23,17924604180534394880,9007423129911296,67108864,24.025392532348633,974127,974057,70
24,17924586553585958912,9025050145456128,4503599627370496,1.960559368133545,81281,81281,0
25,17938115013642027008,189716758528,1125899906842624,22.739229679107666,916258,916245,13
26,17938101750783016960,1139352482611200,288230376151711744,2.206655740737915,92259,92259,0
27,18227462442135060480,9037282279424,2251799813685248,25.21168327331543,994560,994273,287
28,18227444849949016064,2278429282009088,274877906944,0.39940810203552246,17143,17136,7
29,18227445365881962496,2278188226969600,1073741824,2.637878179550171,107719,107539,180
30,18227445227637702656,2278327544971264,8388608,0.2398688793182373,10198,10198,0
31,18229714758158516224,8797032546304,144115188075855872,8.512923240661621,338804,338710,94
32,18228588858251673600,145249885015244800,72057594037927936,0.5621166229248047,22144,22144,0
33,18444761640365457408,1134696939388928,562949953421312,10.31684422492981,418164,418161,3
34,18444757207959207936,1702079299059712,281474976710656,0.7236728668212891,30068,30058,10
35,18446727532796182528,13229438795776,2199023255552,8.892230987548828,359592,359532,60
36,18446727515616313344,15445641920512,1099511627776,0.5004541873931885,21070,21070,0
37,18446744008290729984,52479131648,1024,4.784517049789429,186165,186136,29
38,18446744008222834688,52547027968,8589934592,0.002825021743774414,172,120,52
39,18446744068352376832,1007420416,4096,1.7568588256835938,72913,72898,15
40,18446744068351328256,1008473088,33554432,0.0006594657897949219,56,26,30
41,18446744069391515648,1840128,4294967296,0.31017255783081055,12677,12677,0
42,18446744069357961216,4330361856,16777216,0.0001430511474609375,31,5,26
43,18446744073703260160,1840128,4194304,0.08955883979797363,3605,3605,0
44,18446744073701163008,8131584,131072,9.393692016601562e-05,19,3,16
45,18446744073709420544,5120,32,6.699562072753906e-05,8,2,6
46,18446744073709424672,1024,8,3.123283386230469e-05,3,1,2
47,18446744073709425704,0,,,,,
