世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.007242441177368164,316,316,0
1,17695533694976,134217728,35184372088832,0.009930849075317383,427,427,0
2,17626814218240,35253225783296,70368744177664,0.01650071144104004,683,683,0
3,123179930484736,68853694464,8796093022208,0.027473926544189453,1175,1175,0
4,123145570746368,8899306455040,4398046511104,0.021229028701782227,933,933,0
5,136374070018048,68853694464,18014398509481984,0.05205249786376953,2293,2293,0
6,101189697929216,18049651735265280,137438953472,0.044307708740234375,1900,1900,0
7,101395856359424,18049583015788544,140737488355328,0.07547211647033691,3243,3243,0
8,31027112181760,18260689248321536,36028797018963968,0.0430145263671875,1847,1847,0
9,36130192875323392,18190320504143872,9223372036854775808,0.08087420463562012,3492,3492,0
10,101395856359424,9277591154377883648,4611686018427387904,0.03197646141052246,1365,1365,0
11,4629801812793229312,9259576755868401664,2305843009213693952,0.05669522285461426,2515,2494,21
12,101395856359424,16195120182018965504,67108864,0.02308034896850586,1012,1012,0
13,101396057686016,16195120181884747776,274877906944,0.009035110473632812,403,396,7
14,31027313508352,16195190825506832384,9007199254740992,0.015183448791503906,667,667,0
15,9073410940338176,16195155641134743552,4503599627370496,0.002433300018310547,111,92,19
16,31027313508352,16208701624388943872,1152921504606846976,0.024593591690063477,903,903,0
17,1157456131547725824,16204198024761573376,576460752303423488,0.001094818115234375,53,46,7
18,31027313508352,17938083881299214336,549755813888,0.007959127426147461,349,349,0
19,31851947229184,17938083606421307392,1073741824,0.016533851623535156,729,714,15
20,31577069322240,17938083882372956160,2097152,0.015232086181640625,627,627,0
21,31578145161216,17938083881299214336,17179869184,0.007190704345703125,315,290,25
22,22541533970432,17938092935090274304,2251799813685248,0.04177737236022949,1691,1691,0
23,2283171800416256,17938084104637513728,288230376151711744,0.09188365936279297,3790,3689,101
24,13779800686592,18228583872788955136,2199023255552,0.04814028739929199,2090,2090,0
25,15996003811328,18228583855609085952,1125899906842624,0.0031671524047851562,161,139,22
26,7199910789120,18229718551608950784,1099511627776,0.0002582073211669922,40,10,30
27,602841022464,18229726248190345216,281474976710656,0.02085423469543457,910,910,0
28,284276840988672,18229724049167089664,72057594037927936,0.000186920166015625,27,7,20
29,2801864278016,18302063118181728256,562949953421312,0.008326292037963867,362,362,0
30,570149864210432,18302058720135217152,8589934592,0.000766754150390625,59,31,28
31,565700278091776,18302063178311270400,4294967296,0.018332719802856445,805,805,0
32,566245738938368,18302062637145391104,2147483648,0.00015163421630859375,24,4,20
33,565421105217536,18302063463926595584,144115188075855872,0.007902383804321289,351,351,0
34,145815305180938240,18300928767926730752,536870912,0.0002474784851074219,26,9,17
35,145815166668242944,18300928906976296960,4194304,0.006422996520996094,283,283,0
36,145815167209308160,18300928906439426048,16777216,0.005356788635253906,229,215,14
37,145815154324406272,18300928919341105152,33554432,0.00634312629699707,202,202,0
38,145815162947895296,18300928910751170560,1048576,0.00038695335388183594,25,12,13
39,145812877085769728,18300931196614344704,524288,0.005736112594604492,243,243,0
40,145812877221560320,18300931196479078400,65536,0.005387067794799805,250,223,27
41,145812877188005888,18300931196512698368,131072,0.0061187744140625,254,254,0
42,145812877221691392,18300931196479143936,32768,0.0045013427734375,192,185,7
43,145812877217497088,18300931196483371008,8388608,0.005669832229614258,234,234,0
44,145812877230080000,18300931196479176704,16384,0.0044248104095458984,198,179,19
45,145812877223788544,18300931196485484544,128,0.011185646057128906,450,450,0
46,145812877494370432,18300931196214902784,8192,0.00489354133605957,208,199,9
47,145812877357006976,18300931196352274432,4096,0.005523681640625,229,229,0
48,145812877358067840,18300931196351217664,2048,0.005200624465942383,227,212,15
49,145812877356494976,18300931196352792576,8,0.013362884521484375,537,537,0
50,145812877491239048,18300931196218048512,262144,0.0013644695281982422,69,56,13
51,145812877255702664,18300931196453847040,1024,0.008609771728515625,345,345,0
52,145817292549979272,18300926781159571456,512,0.00036406517028808594,27,13,14
53,145817292549717128,18300926781159834112,2,0.002883434295654297,109,109,0
54,145817292583403146,18300926781126148096,256,0.0001647472381591797,15,6,9
55,145817258156424842,18300926815553126656,64,0.00018835067749023438,12,7,5
56,145817258156400266,18300926815553151296,32,0.0003666877746582031,14,14,0
57,145817258156416746,18300926815553134848,16,8.678436279296875e-05,6,3,3
58,145817258156410602,18300926815553141008,4,5.9604644775390625e-05,3,2,1
59,145817258156409058,18300926815553142556,1,3.218650817871094e-05,1,1,0
60,145817258156409056,18300926815553142559,,,,,
