世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.05814623832702637,1712,1712,0
1,34762915840,68719476736,17179869184,0.47490859031677246,16250,16250,0
2,403177472,120259084288,35184372088832,0.14122390747070312,5457,5456,1
3,35253494743040,51539607552,137438953472,1.7791500091552734,56996,56993,3
4,35184775266304,257698037760,2199023255552,0.5022938251495361,17424,17424,0
5,37400978391040,240518168576,9007199254740992,5.49935507774353,192096,192096,0
6,2216606302208,9042624144998400,18014398509481984,0.49132347106933594,16951,16951,0
7,18051868207349760,9007371053432832,1024,4.181245565414429,139419,139419,0
8,18051867938390016,9007371322393600,2305843009213693952,0.5254590511322021,17537,17537,0
9,2332902076406824960,172067652608,17592186044416,1.7743754386901855,62306,62306,0
10,2332902007687348224,17832973173760,8796093022208,0.8530590534210205,29030,29030,0
11,2332928430326153216,206427390976,4503599627370496,15.241379976272583,533838,533838,0
12,2332910838140108800,4521398240805888,536870912,1.7679615020751953,61445,61445,0
13,2332911045103845376,4521191813940224,4611686018427387904,24.361855030059814,839186,839124,62
14,2323903845849104384,4625214409496069120,9223372036854775808,0.9721214771270752,35820,35820,0
15,16158961901131268096,13528391068681216,1048576,23.436333894729614,815565,815563,2
16,16158961832143355904,13528460057641984,2,2.581538677215576,88218,88218,0
17,16158961832412316674,13528459788681216,281474976710656,47.14519548416138,1637677,1637641,36
18,16158959616074974210,13812151102734336,1152921504606846976,3.8636960983276367,139466,139466,0
19,17316402381214712834,9290890569842688,2097152,19.517875909805298,693923,693923,0
20,17316367058866799618,9326212919853056,4194304,2.9740333557128906,114900,114900,0
21,17316367059411010562,9326212379836416,4398046511104,22.09614610671997,794233,794233,0
22,17316340671131943938,9356998705414144,2251799813685248,3.3602466583251953,128551,128551,0
23,17318601267038651394,9348202612391936,576460752303423488,50.17217016220093,1845787,1845787,0
24,17311837037144835074,592573184809631744,1125899906842624,2.7561559677124023,107308,107308,0
25,17328734331840496642,576801790020812800,288230376151711744,33.672762393951416,1224629,1224629,0
26,17325356632119968770,868409865893052416,144115188075855872,2.460352659225464,97292,97292,0
27,18335288848557802498,2592837531074560,8192,29.727781057357788,1112837,1112837,0
28,18335288848017785858,2592838071099392,4294967296,5.631112575531006,208842,208842,0
29,18335291051336008706,2590639047843840,1099511627776,38.09384536743164,1446579,1446579,0
30,18335288852312753154,2593937582727168,72057594037927936,4.748868942260742,185655,185655,0
31,18407629020839019522,2311363094388736,8388608,23.429415941238403,891596,891596,0
32,18407629020834825218,2311363106971648,32,2.602242946624756,104033,104033,0
33,18407664343184843810,2276040756953088,274877906944,24.516286373138428,943836,943834,2
34,18407664136489542690,2276522330161152,8589934592,2.543076753616333,94329,94329,0
35,18409920342939673634,20324469964800,262144,18.093153953552246,678010,678010,0
36,18409920342939149346,20324470751232,549755813888,2.520331859588623,98921,98921,0
37,18409921425270907938,19791894806528,4,12.237829446792603,467173,467143,30
38,18409921425270906914,19791894807556,2147483648,1.757568597793579,65737,65737,0
39,18409921427422584866,19791890613252,1,11.336859941482544,408694,408644,50
40,18409921427422584864,19791890613255,32768,0.8573644161224365,27819,27819,0
41,18409921427431006240,19791882224647,140737488355328,3.626500368118286,135062,135021,41
42,18409921152553099296,160804248486919,36028797018963968,0.6335716247558594,22448,22448,0
43,18446090687060418592,20066760131591,67108864,1.871274709701538,70057,69960,97
44,18446090652700680224,20101186978823,562949953421312,0.3554685115814209,13110,13110,0
45,18446655801677357088,17902163723271,70368744177664,0.6997594833374023,25965,25916,49
46,18446620479597879328,123592987378695,1073741824,0.007256746292114258,309,303,6
47,18446708853918703648,35219740296199,16384,0.19218897819519043,6031,5998,33
48,18446708853916606496,35219742409735,33554432,0.008435964584350586,236,221,15
49,18446708854956793888,35218735776775,4096,0.15346050262451172,5779,5701,78
50,18446708854956785696,35218735789063,512,0.020570993423461914,790,777,13
51,18446708854957048352,35218735526919,256,0.024393796920776367,961,905,56
52,18446708854957047840,35218735527687,128,0.0016093254089355469,63,58,5
53,18446708854959161504,35218733414151,131072,0.0031087398529052734,115,110,5
54,18446708854891790496,35218800916231,65536,0.0005595684051513672,24,16,8
55,18446708854893822112,35218798950151,16777216,0.0004899501800537109,19,13,6
56,18446708854860071072,35218849478407,2048,0.00027751922607421875,10,7,3
57,18446708854860085408,35218849466119,16,0.0002124309539794922,6,6,0
58,18446708854859821216,35218849730327,8,7.62939453125e-05,2,2,0
59,18446708854859823288,35218849728263,64,4.2438507080078125e-05,1,1,0
60,18446708854859823232,35218849728383,,,,,
