世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.04216718673706055,1712,1712,0
1,34762915840,68719476736,17179869184,0.010091543197631836,427,427,0
2,403177472,120259084288,4398046511104,0.16043829917907715,5457,5456,1
3,4432809426944,85899345920,1125899906842624,0.015039920806884766,613,613,0
4,34762915840,1130383852699648,8589934592,0.23832154273986816,9487,9487,0
5,60532719616,1130366672830464,4294967296,0.05395865440368652,2214,2214,0
6,403177472,1130431097339904,2199023255552,0.265134334564209,10176,10176,0
7,2216606302208,1130413917470720,1099511627776,0.11037707328796387,3984,3984,0
8,17583046656,1133712452354048,288230376151711744,0.5443391799926758,21191,21191,0
9,289360691688112128,3414499000320,576460752303423488,0.09495019912719727,3866,3866,0
10,288234791781269504,577590066709266432,1152921504606846976,0.8479194641113281,31278,31278,0
11,2017617048691539968,1129314405842944,262144,0.08267450332641602,3426,3422,4
12,2017617048557322240,1129314540322816,281474976710656,1.12298583984375,41901,41901,0
13,2017900722557288448,1127115517067264,72057594037927936,0.1199493408203125,5000,5000,0
14,2017619247580577792,73466184531705856,131072,0.9951086044311523,36338,36338,0
15,2017619247580971008,73466184531443712,536870912,0.11647748947143555,4795,4792,3
16,2017619247312535552,73466185336750080,35184372088832,0.876136064529419,32668,32668,0
17,2017654500538318848,73466116483055616,67108864,0.11107182502746582,4522,4522,0
18,2017650085177720832,73470531910762496,8796093022208,1.267864465713501,48739,48739,0
19,2017663313811210240,73466099370295296,256,0.20781755447387695,7902,7902,0
20,2017663313811079168,73466099370426624,2097152,1.9370923042297363,73412,73412,0
21,2017663314081611776,73466099101991168,8192,0.25255346298217773,8892,8892,0
22,2017663314079514624,73466099104096512,4194304,1.9826045036315918,72300,72300,0
23,2017663314620579840,73466098567225600,32768,0.4082775115966797,14715,14715,0
24,2017654449267015680,73474963920822528,137438953472,2.369098424911499,89186,89186,0
25,2017654655425445888,73474895201345792,9007199254740992,0.3035624027252197,11502,11502,0
26,2017619333614403584,82517416267129088,70368744177664,4.464087009429932,158853,158849,4
27,2026697039052275712,73510079573434624,2305843009213693952,0.427095890045166,17307,17307,0
28,2017689839797534720,2388360288041869568,32,6.527327060699463,235749,235749,0
29,2017689840336511008,2388360287502893312,144115188075855872,0.6611027717590332,26804,26804,0
30,77207274528800,4550088108640731392,2147483648,3.210725784301758,117385,117385,0
31,77209426206752,4550088108636537088,140737488355328,0.2847013473510742,11279,11279,0
32,6840682029088,4550299214869070080,33554432,1.7123768329620361,64533,64533,0
33,6849372626976,4550299206212026624,1048576,0.19507837295532227,7777,7777,0
34,6849237622816,4550299206348079360,2048,3.0491509437561035,110168,110168,0
35,6849373677600,4550299206212026624,8,0.285367488861084,11466,11466,0
36,6814879195168,4550299240706509064,4,4.176467180252075,146628,146628,0
37,6814879197220,4550299240706507016,2,0.42110753059387207,16186,16186,0
38,6814879197216,4550299240706507022,1024,3.086402177810669,103924,103924,0
39,6814879722528,4550299240705982734,274877906944,0.2854635715484619,10386,10386,0
40,6608183370784,4550299722280241422,4096,3.134509563446045,110389,110389,0
41,6608184425504,4550299722279190798,1073741824,0.25078511238098145,8248,8248,0
42,6608182324256,4550299723355033870,17592186044416,2.345792293548584,80515,80515,0
43,33099540605984,4550290824182796558,4503599627370496,0.22033238410949707,9022,9022,0
44,6642272578592,4554820881078194446,549755813888,1.393050193786621,44612,44612,0
45,7673064729632,4554820400041857294,8388608,0.12164068222045898,4817,4817,0
46,7121157237792,4554820951957737742,16,0.7360877990722656,25097,25097,0
47,7121426725936,4554820951688249614,64,0.03581357002258301,1437,1437,0
48,7121425669120,4554820951689306494,16384,0.17039036750793457,6524,6511,13
49,7122505726976,4554820950609265022,16777216,0.017889022827148438,662,662,0
50,7122405063680,4554820950726705534,2251799813685248,0.05476713180541992,2000,1995,5
51,2285310497815552,4554794562447638910,562949953421312,0.005324840545654297,189,189,0
52,2283102884625408,4555359720014250366,65536,0.015350580215454102,584,579,5
53,2283120098245632,4555359702800695678,128,0.002967357635498047,114,114,0
54,2278687421447168,4555364135477494270,1,0.005590200424194336,205,205,0
55,2278687421447425,4555364135477494014,512,0.0006611347198486328,25,25,0
56,2278687387484417,4555364135511457534,4611686018427387904,0.00018835067749023438,11,7,4
57,4622971905069613313,4546356936256716542,9223372036854775808,0.00013566017150878906,6,5,1
58,11285886642225409,18381414991538880254,36028797018963968,7.82012939453125e-05,3,2,1
59,47385052405367041,18381344622794702590,18014398509481984,3.910064697265625e-05,1,1,0
60,38307208450605313,18408436865258946302,,,,,
