世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.05324602127075195,1712,1712,0
1,34762915840,68719476736,17179869184,0.4684476852416992,16250,16250,0
2,403177472,120259084288,35184372088832,0.13304734230041504,5457,5456,1
3,35253494743040,51539607552,2097152,1.5778179168701172,56996,56994,2
4,35253226307584,51810140160,536870912,0.27298998832702637,9954,9953,1
5,35254031613952,51541704704,2048,3.7186179161071777,121047,121047,0
6,35253896871936,51676448768,67108864,0.4460315704345703,15424,15424,0
7,35254098198528,51542231040,137438953472,7.9910383224487305,273988,273988,0
8,35184573415424,258505967616,8,1.8877322673797607,61685,61685,0
9,35184573941768,258505441280,9007199254740992,12.556410074234009,409187,409187,0
10,201852936,9042642132271104,70368744177664,1.4343969821929932,47620,47620,0
11,70506653419528,9042504424882176,140737488355328,22.030165433883667,754078,754078,0
12,137909241864,9253610657415168,36028797018963968,2.9142935276031494,98448,98448,0
13,36099303672383496,9183241913237504,9223372036854775808,23.124528646469116,810150,810150,0
14,70506653419528,9268584075786977280,2305843009213693952,2.5155420303344727,93745,93745,0
15,2314955899493943304,9259541692160147456,33554432,19.657514333724976,677276,677268,8
16,2314955899024181256,9259541692663463936,8589934592,0.8652968406677246,30084,30084,0
17,2314956027940309000,9259541572337270784,17592186044416,19.119708776474,654700,654700,0
18,2314850406104565768,9259664786359058432,16777216,3.2465715408325195,118692,118692,0
19,2314850406154897416,9259664786325504000,131072,23.583767652511597,808500,808463,37
20,2314850371728050184,9259664820752482304,256,3.660705327987671,136682,136682,0
21,2314867998341073160,9259647194139459584,4398046511104,14.039924383163452,475480,475432,48
22,2314867963981334792,9259651626545709056,1125899906842624,1.615506649017334,58588,58588,0
23,2315998261934688520,9259647228499197952,4294967296,21.6093327999115,734739,734692,47
24,2315998236164884744,9259647258563969024,1073741824,3.5181126594543457,125326,125326,0
25,2315998238178150664,9259647257624444928,288230376151711744,80.13802528381348,2761843,2761819,24
26,2314867940224796936,9549007931729510400,8796093022208,4.065311670303345,152377,152377,0
27,2314876856576903432,9549007811470426112,262144,49.41965055465698,1712495,1712495,0
28,2314876770442676488,9549007897604915200,2199023255552,7.003624439239502,246375,246375,0
29,2314883376135932168,9549003490934915072,1099511627776,104.19772744178772,3494209,3494209,0
30,2314850382197164296,9549037584385310720,4503599627370496,5.208057880401611,184331,184331,0
31,2319380456002947336,9549011110206898176,2251799813685248,130.73775911331177,4289945,4289945,0
32,2319371625550186760,9551271740473344000,576460752303423488,11.629785776138306,392637,392637,0
33,2898093008254273800,9549011110072680448,4611686018427387904,78.94969439506531,2572944,2572944,0
34,2889068182453750024,14169721954300592128,144115188075855872,3.92730450630188,131131,131131,0
35,3322539646588160264,13880365678242037760,1152921504606846976,34.707584381103516,1171073,1171073,0
36,1009941237933410568,17345885591503634432,4096,2.653406858444214,91367,91367,0
37,1009941237935511816,17345885591501537280,72057594037927936,0.018677949905395508,571,429,142
38,1134921404520712,18426749502070456320,512,0.8791253566741943,32103,32103,0
39,1134921404783368,18426749502070194176,562949953421312,0.0019087791442871094,137,71,66
40,9021497940744,18428438351930458112,18014398509481984,0.17505979537963867,6285,6285,0
41,18058604379511560,18428403167558369280,274877906944,0.05367255210876465,1432,1321,111
42,18023213848992520,18428438832966795264,549755813888,0.19448232650756836,5126,5126,0
43,18024279000881928,18428438317570719744,8388608,0.22286319732666016,7742,7617,125
44,18024140488186632,18428438456091803648,2147483648,0.1688861846923828,6198,6198,0
45,18024143709412104,18428438455018061824,1048576,0.2060375213623047,7841,7706,135
46,18023781992635144,18428438816735887360,4194304,0.17209672927856445,5862,5862,0
47,18023851253177096,18428438747479539712,65536,0.04445171356201172,1706,1692,14
48,18023851201927944,18428438747530854400,281474976710656,0.0578312873840332,2157,2157,0
49,35757878558137096,18410986195151355904,1,0.779909610748291,27873,27656,217
50,35475299757987848,18411268773951505153,2,0.056923866271972656,2265,2265,0
51,35477507404864010,18411266566304628993,32768,0.0045278072357177734,220,177,43
52,34342742144457226,18412401331565068545,128,0.028914213180541992,1090,1090,0
53,34342742152878730,18412401331556647169,16384,0.0011785030364990234,45,28,17
54,34342742150781578,18412401331558760705,64,0.007134199142456055,241,241,0
55,34342742154992330,18412401331554550017,1024,0.00018930435180664062,12,7,5
56,34342742154860746,18412401331554682625,8192,0.00027751922607421875,12,10,2
57,34378081820014794,18412365991889536769,32,0.0001327991485595703,7,5,2
58,25335560215251146,18421408513494300449,16,6.008148193359375e-05,3,2,1
59,25335560215263482,18421408513494288129,4,4.220008850097656e-05,1,1,0
60,25335560214212856,18421408513495338759,,,,,
