世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,67108864,0.30760717391967773,9876,9870,6
1,34829500416,68719476736,17179869184,0.47248220443725586,16250,16250,0
2,469762048,120259084288,4398046511104,1.2324700355529785,45041,45041,0
3,4450055880704,68719476736,262144,1.1476387977600098,40278,40278,0
4,4449921662976,68853956608,1048576,2.207775115966797,78860,78847,13
5,4450056929280,68719738880,1125899906842624,2.97871732711792,104368,104368,0
6,34763440128,1130383920070656,131072,8.51629114151001,294668,294511,157
7,34830680064,1130383852961792,2097152,5.255002498626709,185094,185088,6
8,202506240,1130418483232768,288230376151711744,16.60330629348755,571812,571791,21
9,289360691487440896,103350009856,256,14.046595573425293,491107,491099,8
10,289360691420200960,103417250048,137438953472,11.433371782302856,397898,397898,0
11,289360931938369536,338034944,70368744177664,10.173075675964355,358536,358536,0
12,289360794499416064,70506521166080,4194304,8.819956541061401,327474,327474,0
13,289360794505707520,70506519068928,35184372088832,9.747430086135864,361796,361796,0
14,289360725652013056,105759744852224,17592186044416,12.237086057662964,446145,446145,0
15,289378386825969664,105690756940032,524288,31.634713888168335,1199765,1199765,0
16,289378386557534208,105691025899776,140737488355328,50.49083065986633,1926639,1926639,0
17,289624677162156032,137909633280,36028797018963968,53.77999210357666,2191023,2191000,23
18,289554308417978368,36099303672774912,9223372036854775808,44.48058605194092,1762223,1762223,0
19,9548955142291718144,70506653810944,8796093022208,45.02058291435242,1815238,1815234,4
20,9548902331373846528,132113664704768,4503599627370496,33.356066942214966,1352399,1352399,0
21,9553432319280283648,105725385638144,1152921504606846976,51.94823718070984,2125515,2125515,0
22,9548911058747392000,1157548490525376768,274877906944,32.99028444290161,1326452,1326452,0
23,9548911574143467520,1157548250007208192,8388608,64.61675262451172,2600775,2600775,0
24,9548911574136127488,1157548250022936832,576460752303423488,49.3474543094635,1995247,1995233,14
25,10129911110439010304,1153009466023477504,144115188075855872,24.913698434829712,1005577,1005577,0
26,9265219981983875072,2161815782554468608,9007199254740992,34.209731340408325,1372130,1372122,8
27,9274244773424660480,2161798190368424192,4611686018427387904,30.15526008605957,1200113,1200113,0
28,9265219947624136704,6782509034596335872,2305843009213693952,38.4425003528595,1509829,1509683,146
29,16191756174519959552,2161815816914206976,562949953421312,28.20624041557312,1147678,1147678,0
30,16191751776473448448,2162383164914139392,72057594037927936,38.739867210388184,1544315,1543316,999
31,18425537191649214464,655343776301312,18014398509481984,15.340545892715454,638016,638016,0
32,18425501938557648896,18704995377348864,536870912,27.978846549987793,1129015,1127406,1609
33,18425502007813996544,18704926657872128,2251799813685248,15.623226165771484,635376,635376,0
34,18410856512932020224,35602221353533696,281474976710656,0.1509392261505127,6244,6056,188
35,18446603834974273536,136374287991040,8589934592,9.560370445251465,383428,383428,0
36,18446603817794404352,136400057794816,2199023255552,0.0003139972686767578,58,11,47
37,18446742356259504128,60615950592,1073741824,1.5100557804107666,57325,57325,0
38,18446742355722633216,62226563328,4294967296,0.001272439956665039,68,51,17
39,18446742420147142656,2097021184,1099511627776,0.5462155342102051,22494,22494,0
40,18446742411557208064,1110198583552,33554432,0.0003581047058105469,36,13,23
41,18446742420180697088,1101608648960,16777216,0.3521151542663574,13925,13925,0
42,18446742415852175360,1105953947904,65536,0.00036025047302246094,36,14,22
43,18446743519709167616,2097021184,2147483648,0.0009450912475585938,54,35,19
44,18446743523937026048,16646400,549755813888,0.06484246253967285,2722,2722,0
45,18446743520715800576,552993685760,32768,0.0014979839324951172,85,61,24
46,18446744072631713792,1077805312,16384,0.05699300765991211,2379,2379,0
47,18446744072627519488,1082016000,8192,0.0037546157836914062,192,152,40
48,18446744072634884096,1074659584,4096,0.08758759498596191,3434,3426,8
49,18446744072632786944,1076760832,2048,0.010767698287963867,449,400,49
50,18446744072633579520,1075970304,128,0.08292198181152344,3249,3232,17
51,18446744072633563136,1075986816,1024,0.0006575584411621094,48,25,23
52,18446744072633695232,1075855744,32,0.011521577835083008,481,473,8
53,18446744072633687040,1075863968,64,0.0001628398895263672,10,6,4
54,18446744072633711680,1075839392,8,0.00022292137145996094,9,8,1
55,18446744072633707584,1075843496,16,0.00010967254638671875,6,4,2
56,18446744072633711728,1075839368,4,8.416175842285156e-05,4,3,1
57,18446744072633711740,1075839360,2,5.8650970458984375e-05,2,2,0
58,18446744072633711616,1075839486,1,3.266334533691406e-05,1,1,0
59,18446744072633711873,1075839230,,,,,
