世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.05737733840942383,1712,1712,0
1,34762915840,68719476736,17179869184,0.3710660934448242,16250,16250,0
2,403177472,120259084288,35184372088832,0.12594056129455566,5457,5456,1
3,35253494743040,51539607552,1048576,1.398970127105713,56996,56994,2
4,35253360525312,51674873856,2097152,0.5090796947479248,20102,20102,0
5,35253363671040,51673825280,18014398509481984,4.53240180015564,190702,190686,16
6,272105472,18049703274872832,67108864,0.3903639316558838,15551,15551,0
7,473432064,18049703140655104,262144,6.9516096115112305,286599,286599,0
8,272105472,18049703342243840,2199023255552,1.1496407985687256,48385,48385,0
9,2216609447936,18049686028156928,4194304,14.516808986663818,583961,583961,0
10,2216605777920,18049686036021248,137438953472,2.1344804763793945,84912,84912,0
11,2457123946496,18049582956806144,281474976710656,16.747649669647217,652923,652919,4
12,240786604032,18333274270859264,9007199254740992,2.114279270172119,80670,80670,0
13,9042624413433856,18298089898770432,274877906944,17.021668195724487,638872,638791,81
14,9042383895265280,18298605294845952,2147483648,1.7711975574493408,57674,57674,0
15,9042660920655872,18298330416939008,2305843009213693952,6.986156940460205,265488,265469,19
16,277293826048,2333183723257462784,17592186044416,1.2224326133728027,46623,46610,13
17,17938199347200,2333183654537986048,2251799813685248,11.053356647491455,414742,414739,3
18,346013302784,2335453046537715712,4503599627370496,1.6987464427947998,64818,64804,14
19,4556722198806528,2335400269979582464,1152921504606846976,16.251852989196777,617823,617823,0
20,35461397479424,3492843035387756544,8796093022208,0.1447288990020752,4636,4624,12
21,61849676546048,3492825443201712128,1125899906842624,4.082345724105835,144577,144577,0
22,53053583523840,3493960139201576960,4611686018427387904,1.8417446613311768,67022,67015,7
23,4620746271265652736,3484952939946835968,9223372036854775808,4.966472387313843,179775,179775,0
24,9060252838264832,17320010995228999680,288230376151711744,1.9696707725524902,67289,67282,7
25,299542428803661824,17317759195415314432,576460752303423488,8.240620613098145,286632,286632,0
26,297290628989976576,17896471747532423168,4398046511104,2.0081627368927,63836,63836,0
27,298429723036352512,17895337051532558336,144115188075855872,14.461633443832397,500405,500392,13
28,9064650884775936,18328817311759990784,1073741824,2.6307122707366943,90285,90285,0
29,9064789397471232,18328817174321037312,70368744177664,10.556240558624268,359358,359358,0
30,4400193994752,18337947932268691456,536870912,0.4657871723175049,14713,14713,0
31,4401804607488,18337947931194949632,549755813888,2.6248815059661865,88294,88239,55
32,4400730865664,18337948482024505344,140737488355328,0.02942180633544922,1219,1196,23
33,277904248274944,18337815715995451392,36028797018963968,4.244228839874268,153993,153993,0
34,207535504097280,18373914881758593024,33554432,1.6748948097229004,61740,61733,7
35,207553187282944,18373914864108961792,8388608,14.72149658203125,507033,507033,0
36,66263795630080,18374056153509003264,1099511627776,1.8419406414031982,63852,63852,0
37,69562330513408,18374053954485747712,16777216,9.882185220718384,349439,349138,301
38,69561290326016,18374053955542712320,72057594037927936,1.3495473861694336,47955,47931,24
39,72408630304964608,18373772480566001664,8589934592,2.605112075805664,87323,87295,28
40,72404215078584320,18373776904382316544,4294967296,0.001317739486694336,67,52,15
41,72404485661523968,18373776638094344192,562949953421312,0.5342731475830078,20842,20839,3
42,72402278048333824,18374341795660955648,65536,0.04280376434326172,1551,1532,19
43,72402278098731008,18374341795610624000,131072,0.3692626953125,14746,14746,0
44,72402278065176576,18374341795644309504,256,0.38372063636779785,14736,14734,2
45,72402278132416768,18374341795577069568,512,0.3661370277404785,11979,11979,0
46,72402278132285696,18374341795577201152,1,0.318528413772583,11978,11978,0
47,72402278266766081,18374341795442720768,2048,0.7755703926086426,27026,27008,18
48,72402278266503937,18374341795442984960,1024,0.24863791465759277,10057,10057,0
49,72402278535857921,18374341795173632000,4096,0.35364794731140137,13625,13531,94
50,72402278468224769,18374341795241269248,4,0.15262460708618164,5080,5080,0
51,72402279006146309,18374341794703347712,16,0.11707544326782227,4342,4154,188
52,72402279005882117,18374341794703611920,8,0.037261962890625,1229,1229,0
53,72402279006408461,18374341794703085584,8192,0.0017087459564208984,82,53,29
54,72402261691272973,18374341812018229264,32,0.009089469909667969,295,295,0
55,72402261693382461,18374341812016119808,16384,0.00042819976806640625,21,13,8
56,72402227063111485,18374341846646407168,128,0.0005056858062744141,19,17,2
57,72969609693331389,18373774464016187392,64,0.00012063980102539062,4,3,1
58,72969609693306813,18373774464016212032,32768,7.152557373046875e-05,2,2,0
59,72969609697558461,18373774464011993152,2,3.933906555175781e-05,1,1,0
60,72969471989512577,18373774601720039038,,,,,
