世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,17592186044416,0.0076220035552978516,316,316,0
1,17695533694976,134217728,35184372088832,0.010535240173339844,427,427,0
2,17626814218240,35253225783296,70368744177664,0.01688098907470703,683,683,0
3,123179930484736,68853694464,8796093022208,0.03072953224182129,1175,1175,0
4,123145570746368,8899306455040,4398046511104,0.02367544174194336,933,933,0
5,136374070018048,68853694464,2251799813685248,0.06080031394958496,2293,2293,0
6,127543617257472,2260699120140288,262144,0.05330538749694824,2214,2214,0
7,127612471214080,2260630266445824,140737488355328,0.09757280349731445,3910,3910,0
8,4467168903168,2524513057112064,576460752303423488,0.08540940284729004,3567,3567,0
9,578725849738772480,263882790666240,288230376151711744,0.04353952407836914,1747,1747,0
10,576474049925087232,290746058756063232,1152921504606846976,0.05998587608337402,2030,2030,0
11,1731647354345619456,288494258942377984,2305843009213693952,0.06345653533935547,2056,2056,0
12,2265097435348992,4323719525066342400,9007199254740992,0.03281664848327637,1307,1307,0
13,11289888876134400,4323701932880297984,8589934592,0.05208635330200195,2055,2055,0
14,9033691015938048,4325958139330428928,137438953472,0.034417152404785156,1414,1414,0
15,9069012826980352,4325922954958340096,536870912,0.07163739204406738,2284,2284,0
16,26491761197056,4334965476560994304,4611686018427387904,0.11624264717102051,4645,4645,0
17,4620719709443325952,4325958277306253312,9223372036854775808,0.18015742301940918,6916,6916,0
18,9033691015938048,18161016332588417024,2097152,0.11579561233520508,4788,4788,0
19,9069013365948416,18160981010240503808,8192,0.07658267021179199,2896,2896,0
20,26491761197056,18170023531845263360,36028797018963968,0.10671782493591309,4304,4304,0
21,36125794963292160,18169953025662132224,1073741824,0.11997866630554199,4850,4850,0
22,36108065338294272,18169970756360871936,2147483648,0.1660599708557129,7036,7036,0
23,36108069096390656,18169970754750259200,549755813888,0.1510944366455078,6149,6149,0
24,36037699278471168,18170041674323992576,274877906944,0.09580540657043457,4021,4021,0
25,36038111595331584,18170041536885039104,524288,0.10700058937072754,4296,4296,0
26,36029143300964352,18170050505179930624,1048576,0.11332011222839355,4749,4749,0
27,36029143570972672,18170050504910970880,131072,0.16519713401794434,6435,6435,0
28,36029143569137664,18170050504912936960,18014398509481984,0.00019788742065429688,43,7,36
29,54149095194886144,18169944951796670464,8388608,0.04499101638793945,1650,1650,0
30,54149093047402496,18169944953952542720,4503599627370496,0.0006420612335205078,45,26,19
31,67677484115558400,18160920162511757312,4194304,0.014136791229248047,575,575,0
32,67677414859210752,18160920231772299264,1125899906842624,0.0011951923370361328,72,49,23
33,71055114579738624,18158668431958614016,2199023255552,0.031107187271118164,1235,1235,0
34,69929214672896000,18159796530888712192,32768,0.02854776382446289,1175,1162,13
35,70070504072970240,18159655241488670720,128,0.013540267944335938,540,540,0
36,33900417653932032,18195825327907709056,16384,0.0716240406036377,2966,2960,6
37,33900418733981696,18195825326827675776,4096,0.05113506317138672,2049,2049,0
38,33900417658142720,18195825327903518848,32,0.1204380989074707,5077,5046,31
39,33900555636072480,18195825189925589120,16,0.03149271011352539,1253,1253,0
40,33900555631869984,18195825189929791632,8,0.0897376537322998,3723,3716,7
41,33900555631874104,18195825189929787520,2048,0.028129100799560547,1063,1063,0
42,33900555631870008,18195825189929793664,67108864,0.07478857040405273,3163,3160,3
43,33900590193463352,18195825155435309184,17179869184,0.056743621826171875,2311,2311,0
44,33900555632398392,18195825207176243328,4,0.08850526809692383,3707,3705,2
45,33900555633449020,18195825207175192704,1024,0.025280475616455078,1020,1020,0
46,33830049181351996,18195895713627290752,64,0.07342815399169922,3068,3065,3
47,33830049181360252,18195895713627282560,2,0.008095979690551758,326,326,0
48,33830049181360128,18195895713627282686,144115188075855872,0.03120136260986328,1289,1263,26
49,179080001976557568,18194760948907941118,72057594037927936,0.013650894165039062,528,528,0
50,34964813900701696,18410933731021724926,562949953421312,0.02925419807434082,1191,1173,18
51,35532196528807936,18410929298347039998,1099511627776,0.006794929504394531,275,275,0
52,34969246575386624,18411493347812089086,281474976710656,0.0007145404815673828,35,25,10
53,35815887842861056,18410928181521325310,33554432,0.0032682418823242188,124,120,4
54,31303474942599168,18415440594455141630,4294967296,0.00030493736267089844,16,12,4
55,31304604518998016,18415439469173710078,16777216,0.00043845176696777344,18,16,2
56,28765819285561344,18417978254423923966,65536,0.00018167495727539062,9,7,2
57,28765819320098816,18417978254389452030,512,8.344650268554688e-05,4,3,1
58,10716167550885888,18436027906158665470,256,5.793571472167969e-05,2,2,0
59,10716167618133760,18436027906091417854,1,3.170967102050781e-05,1,1,0
60,10716167618067456,18436027906091484159,,,,,
