世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.2998807430267334,9876,9870,6
1,34762915840,68719476736,17179869184,0.4574739933013916,16250,16250,0
2,403177472,120259084288,4398046511104,1.124162197113037,37746,37744,2
3,4432809426944,85899345920,1125899906842624,0.9142649173736572,31601,31601,0
4,34762915840,1130383852699648,8589934592,2.2630391120910645,73333,73332,1
5,60532719616,1130366672830464,4294967296,4.19656229019165,139442,139434,8
6,403177472,1130431097339904,35184372088832,2.4958293437957764,80619,80615,4
7,35253494743040,1130362377863168,137438953472,2.2010281085968018,72831,72820,11
8,35184775266304,1130568536293376,70368744177664,7.395792722702026,242704,242704,0
9,105690958397440,1130431097339904,1048576,4.784024715423584,164464,164436,28
10,105690555744256,1130431501041664,2097152,4.546594858169556,152252,152252,0
11,105690558889984,1130431499993088,36028797018963968,12.369505167007446,429968,429968,0
12,35184375758848,37229734702088192,2199023255552,19.980820655822754,659023,659023,0
13,37400713101312,37229717388001280,17592186044416,44.34146785736084,1525827,1525827,0
14,2216341012480,37282493946134528,288230376151711744,33.564921379089355,1118871,1118871,0
15,289362890446077952,36152195992780800,576460752303423488,26.04680633544922,923855,923855,0
16,288234791515979776,613741047226302464,1152921504606846976,41.416797161102295,1408257,1408257,0
17,2017617048426250240,37280294922878976,262144,25.115174531936646,863073,863058,15
18,2017617048292032512,37280295057358848,1099511627776,24.476932048797607,862298,862239,59
19,2017620346826915840,37278096034103296,281474976710656,23.25194025039673,832989,832988,1
20,2017617031112163328,37562886725566464,8796093022208,13.576204061508179,459025,459006,19
21,2017625861699141632,37562852231610368,67108864,41.41704201698303,1471227,1471212,15
22,2017625827205185536,37562886792675328,131072,34.50179600715637,1142335,1142312,23
23,2017625827205578752,37562886792413184,2251799813685248,41.98788571357727,1465639,1465638,1
24,2017612633066045440,39827880745631744,4503599627370496,25.37529683113098,850045,850019,26
25,2022133893867372544,39810219571675136,2305843009213693952,56.46174883842468,1913975,1913929,46
26,2017630294240002048,2350156828412739584,33554432,56.20908808708191,1822886,1822850,36
27,2017630294474883072,2350156828211412992,144115188075855872,61.051180362701416,2007292,2007055,237
28,17661412900864,4511884649349251072,274877906944,15.225247859954834,484762,484762,0
29,18073729761280,4511884511910297600,9007199254740992,26.94914197921753,895905,895667,238
30,481543716864,4520909303351083008,4611686018427387904,9.4912269115448,299864,299864,0
31,4620711325771628544,4511884477550559232,9223372036854775808,0.02551436424255371,1122,974,148
32,9025307344240640,18346942532832722944,562949953421312,8.429190397262573,274756,274756,0
33,17476162305261568,18339054627825123328,18014398509481984,0.1273806095123291,5253,5132,121
34,24713749200896,18374520474890665984,72057594037927936,3.0575621128082275,98624,98624,0
35,72645257740550144,18373957524937244672,16777216,0.9108803272247314,28436,28066,370
36,72640851104104448,18373961931590467584,65536,2.254035472869873,65711,65711,0
37,72923429904252928,18373679352790384640,549755813888,0.10390806198120117,3767,3739,28
38,72922914508177408,18373680417942274048,140737488355328,1.6085729598999023,50856,50769,87
39,73169205112799232,18373574864826007552,1024,6.7715137004852295,233501,233440,61
40,73169204776468480,18373574865162339328,2048,8.530273914337158,273631,273389,242
41,73169204777256960,18373574865161552896,8,6.176625728607178,206881,206843,38
42,73169204642512896,18373574865296296968,4,5.217749357223511,167908,167794,114
43,73169204642515972,18373574865296293896,2,3.5093650817871094,115076,115023,53
44,73169204642514944,18373574865296294926,1073741824,1.988523006439209,61184,61183,1
45,73169618033117184,18373574452979434510,2147483648,2.400975465774536,78641,78613,28
46,73134158783121408,18373609914376913934,536870912,0.8252239227294922,28358,28356,2
47,73134434667661312,18373609639029244942,8388608,0.8134551048278809,28527,28473,54
48,73116703968921600,18373627369736373262,4194304,0.46663498878479004,15763,15707,56
49,73116705046857728,18373627368662631438,8192,0.400219202041626,14710,14682,28
50,73116704368429056,18373627369341068302,512,0.23670744895935059,8041,7959,82
51,73116704368430592,18373627369341067278,1,0.07238006591796875,2873,2851,22
52,73116704368167936,18373627369341329935,256,0.06977963447570801,2703,2597,106
53,73116704368168704,18373627369341329423,16,0.00927281379699707,236,223,13
54,73116704368166656,18373627369341331487,32768,0.0005753040313720703,21,14,7
55,73117256279885568,18373626817429645343,128,0.00063323974609375,21,17,4
56,72975966879811328,18373768106829719711,16384,0.00031185150146484375,16,12,4
57,72975966886119168,18373768106823428255,4096,0.0001354217529296875,7,5,2
58,72975965810280192,18373768107899271327,64,6.151199340820312e-05,3,2,1
59,72975983125423936,18373768090584127647,32,3.409385681152344e-05,1,1,0
60,72975983125399296,18373768090584152319,,,,,
