世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,67108864,0.23587274551391602,9876,9870,6
1,34829500416,68719476736,1048576,0.05722856521606445,2477,2477,0
2,34561064960,68988960768,35184372088832,0.8648176193237305,37472,37468,4
3,35287652630528,269484032,4398046511104,0.1724872589111328,7510,7510,0
4,35253292892160,4432675733504,17592186044416,1.8082706928253174,77553,77528,25
5,52879838674944,4398315995136,4503599627370496,0.23716282844543457,10053,10053,0
6,35218933153792,4525658848886784,576460752303423488,6.395437240600586,270915,270880,35
7,580999570863947776,22059221516288,1152921504606846976,0.6457169055938721,27736,27736,0
8,576495971236577280,1157447163455733760,2305843009213693952,8.165253162384033,345620,345620,0
9,4035260485057118208,4525658848886784,17179869184,0.5638437271118164,24078,24078,0
10,4035260450563162112,4525710522712064,1125899906842624,6.131495475769043,259780,259757,23
11,4036390765696385024,4521295296331776,2199023255552,1.1740989685058594,50188,50188,0
12,4036390748516515840,4523511499456512,1099511627776,15.374306201934814,651580,651577,3
13,4036394047051399168,4521312476200960,288230376151711744,1.1960818767547607,50855,50855,0
14,4035263749098045440,293881986581266432,144115188075855872,12.47643780708313,532647,532647,0
15,4467609313325613056,5651610429554688,281474976710656,0.6170980930328369,26276,26276,0
16,4467607114302357504,5935284429520896,72057594037927936,7.0319695472717285,298549,298085,464
17,4539946183316996096,5653809452810240,18014398509481984,0.3625943660736084,14750,14750,0
18,4539910998944907264,23703392334381056,9007199254740992,0.02471303939819336,1161,1038,123
19,4548935824745431040,23685765788598272,8796093022208,0.5169322490692139,18364,18364,0
20,4548918198199648256,23712188427403264,2251799813685248,0.7718019485473633,31129,30998,131
21,4555673597640704000,19208588800032768,4611686018427387904,0.5617375373840332,21519,21519,0
22,4546666398385963008,4639901806482161664,9223372036854775808,0.0018107891082763672,171,44,127
23,18381724453668126720,28215788054773760,262144,0.3598041534423828,15064,15064,0
24,18381724453601017856,28215788122144768,36028797018963968,0.008408308029174805,397,357,40
25,18444774848384204800,1194190357921792,562949953421312,0.010238885879516602,490,431,59
26,18446463698244468736,68290451079168,70368744177664,0.029131174087524414,1301,1226,75
27,18446602236709568512,120730157056,33554432,0.10169363021850586,4451,4336,115
28,18446602253922992128,103550287872,16777216,0.1949458122253418,7436,7436,0
29,18446602253889437696,103600619520,137438953472,0.03400874137878418,1459,1428,31
30,18446602494407606272,521404416,2097152,0.04255485534667969,1812,1723,89
31,18446602494678138880,252968960,4194304,0.076751708984375,2979,2979,0
32,18446602494676041728,259260416,524288,0.09242105484008789,3656,3615,41
33,18446602494810783744,125042688,4096,0.12981963157653809,4374,4374,0
34,18446602494810259456,125571072,8192,0.9054687023162842,36427,36015,412
35,18446602494811316224,124522496,32,0.2772235870361328,10565,10565,0
36,18446602494811308032,124530720,2048,1.3100266456604004,47580,47254,326
37,18446602494811834368,124006432,16,0.20009613037109375,8327,8327,0
38,18446602494811832320,124008496,8589934592,0.03936195373535156,1575,1555,20
39,18446602503468875776,56899632,536870912,0.04183030128479004,1610,1610,0
40,18446602502998065152,1064581168,1024,1.0085546970367432,41233,40888,345
41,18446602503065437184,997210160,2,0.13728666305541992,5775,5775,0
42,18446602503064911872,997735474,4294967296,0.0017197132110595703,133,69,64
43,18446602507393433600,964181042,131072,0.045142173767089844,1882,1882,0
44,18446602507393171456,964574258,1073741824,0.0018584728240966797,148,76,72
45,18446602509406437376,25050162,549755813888,0.0701603889465332,2859,2859,0
46,18446602508332695552,550854605874,2147483648,0.0005629062652587891,63,20,43
47,18446602511553921024,549780864050,8388608,0.03276538848876953,1293,1293,0
48,18446602509406437376,551936736306,65536,0.0005593299865722656,44,21,23
49,18446602509423280128,551919959090,274877906944,0.010024070739746094,313,313,0
50,18446602507812667392,828408478770,32768,0.0006883144378662109,54,25,29
51,18446602508353765376,827867413554,128,0.012301445007324219,457,454,3
52,18446602508353732608,827867446450,140737488355328,0.00031113624572753906,22,10,12
53,18446743520719994880,552989539506,16384,0.003078460693359375,116,116,0
54,18446743520715800576,552993750194,512,0.00016427040100097656,15,6,9
55,18446743520716194304,552993356978,256,0.00028133392333984375,15,11,4
56,18446743520716193792,552993357746,64,0.000152587890625,9,4,5
57,18446743521795203136,551914348466,8,8.463859558105469e-05,5,3,2
58,18446743521797831800,551911719810,4,5.817413330078125e-05,2,2,0
59,18446743521797831680,551911719934,1,3.2901763916015625e-05,1,1,0
60,18446743521797832449,551911719166,,,,,
