世代,黒のボード,白のボード,アクション,探索時間,全探索数,実際の探索数,カットした探索数
0,34628173824,68853694464,524288,0.042438507080078125,1712,1712,0
1,34762915840,68719476736,17179869184,0.07744479179382324,2477,2477,0
2,403177472,120259084288,4398046511104,0.15493226051330566,5457,5456,1
3,4432809426944,85899345920,1125899906842624,0.11918258666992188,4256,4256,0
4,34762915840,1130383852699648,8589934592,0.23764777183532715,9487,9487,0
5,60532719616,1130366672830464,4294967296,0.4134187698364258,16824,16824,0
6,403177472,1130431097339904,2199023255552,0.28092336654663086,10176,10176,0
7,2216606302208,1130413917470720,1099511627776,0.8309638500213623,32404,32404,0
8,17583046656,1133712452354048,288230376151711744,0.553455114364624,21191,21191,0
9,289360691688112128,3414499000320,576460752303423488,0.845970630645752,32998,32998,0
10,288234791781269504,577590066709266432,1152921504606846976,0.8545088768005371,31278,31278,0
11,2017617048691539968,1129314405842944,2097152,0.6587727069854736,26584,26580,4
12,2017617048423104512,1129314676375552,281474976710656,0.6843388080596924,25997,25997,0
13,2017900722423070720,1127115653120000,72057594037927936,0.5895237922668457,23249,23246,3
14,2017619247446360064,73466184667758592,137438953472,0.5766100883483887,22197,22197,0
15,2017619488232964096,73466081320108032,1048576,0.3949754238128662,15432,15428,4
16,2017617271895621632,73468297658499072,4194304,0.7740130424499512,28241,28241,0
17,2017617271902961664,73468297655353344,536870912,0.6133537292480469,24194,24194,0
18,2017617271634526208,73468298460659712,262144,0.9827401638031006,38410,38410,0
19,2017617271769006080,73468298326441984,67108864,2.9757590293884277,116259,116259,0
20,2017617271634788352,73468298527768576,131072,0.777540922164917,29594,29594,0
21,2017617271702028288,73468298460659712,32768,3.2971086502075195,126780,126780,0
22,2017617271697833984,73468298464886784,1073741824,1.060814619064331,40516,40516,0
23,2017617273711099904,73468297525362688,65536,1.7361910343170166,63815,63815,0
24,2017617273707036672,73468297529491456,4096,2.540714979171753,89570,89570,0
25,2017617273710710784,73468297525821440,8796093022208,2.3550727367401123,87338,87338,0
26,2017612806407852032,73481560921702400,8388608,4.848219156265259,160021,160021,0
27,2017612806420434944,73481560917508096,2147483648,4.387140512466431,151826,151826,0
28,2017612805338304512,73481564147122176,549755813888,4.1972033977508545,142324,142324,0
29,2017613356167860224,73481563073380352,140737488355328,3.9588146209716797,130656,130656,0
30,2017612806412046336,73622850317549568,2251799813685248,3.381049394607544,109318,109318,0
31,2019873402318753792,73614054224527360,16,4.179089784622192,142101,142101,0
32,2019873402049265664,73614054494015504,32,4.551042079925537,151325,151325,0
33,2019873402049269792,73614054494011408,64,4.408046245574951,148746,148746,0
34,2019873402049269760,73614054494011504,8192,3.3348774909973145,104456,104456,0
35,2019873402050326528,73614054492962928,8,2.691859483718872,88558,88558,0
36,2019873400974483456,73614055568806008,274877906944,3.421701431274414,104295,104295,0
37,2019873677463003136,73614053958193272,4503599627370496,1.6185009479522705,55138,55138,0
38,2017613081556295680,80378249492271224,17592186044416,1.8455519676208496,58828,58828,0
39,2024386142171308032,73622781063303288,33554432,0.7033157348632812,24084,24084,0
40,2024386140090933248,73622783177232504,562949953421312,0.8903536796569824,30175,30175,0
41,2026079387997708288,72492485223878776,1024,0.786846399307251,24175,24167,8
42,2026079387997184000,72492485224404088,4,0.6753585338592529,21716,21716,0
43,2026079405244425220,72492467977162872,2,0.746363639831543,26190,26188,2
44,2026079405244424192,72492467977163902,2048,0.292452335357666,8780,8780,0
45,2026079405379172352,72492467842417790,70368744177664,0.19153714179992676,6614,6614,0
46,2026078993062311936,72563248903455870,35184372088832,0.22726130485534668,8533,8520,13
47,2026114315412322304,72563110925534334,2305843009213693952,0.06103777885437012,2425,2425,0
48,2021610715784951808,2382909719766598782,4611686018427387904,0.10340547561645508,3917,3917,0
49,8939139743426033664,77066710552904830,9007199254740992,0.04436802864074707,1579,1579,0
50,8939086794463123456,86126858770556030,18014398509481984,0.019189834594726562,659,650,9
51,8970717820922632192,72510230820529278,144115188075855872,0.012848377227783203,445,445,0
52,8969028971062368256,218314268756649086,16777216,0.0019457340240478516,53,47,6
53,8969028979769743360,218314260066051198,36028797018963968,0.010078668594360352,187,185,2
54,8935181613820286976,288190423034471550,9223372036854775808,0.00028061866760253906,11,6,5
55,18176568049184544768,270176024524989566,16384,0.0007011890411376953,26,23,3
56,18176567773228701696,270176300480849022,512,0.0001354217529296875,7,4,3
57,18176567773228834304,270176300480716926,256,0.0001595020294189453,5,5,0
58,18176567773161586688,270176300547964798,128,7.128715515136719e-05,3,2,1
59,18212737894210912384,234006179498639230,1,3.933906555175781e-05,1,1,0
60,18212737894210978815,234006179498572800,,,,,
