189047898112_35254035283968_0
8658100224_17695701993472_0
17384079360_39685767299072_0
8657580064_8899575939072_0
35170289664_105759408922624_0
1006895104_2278308385390592_0
471335936_35296074924032_0
86107226112_17626815270912_0
60131901440_8865852686336_0
336596992_2261128616869888_0
17684234240_17832706326528_0
51943309312_30994094620672_0
103552647168_35339527782400_0
35097944064_69022650880_0
189113835520_17661243179008_0
135800832_567588788633600_0
2199429578752_1134824848883712_0
189649911808_26457270124544_0
2422563143680_4432676913152_0
202899456_17725600563200_0
8865720573952_17626680524800_0
95428935680_19825636409344_0
17723031552_2278291641729024_0
4398052810768_17695736070144_0
8929148928_18049703274872832_0
4638833901568_739254272_0
35301359616_30993558798336_0
257899626496_17592457629696_0
67637248_241458743304_0
2456990253056_135536704_0
77913915392_34798047240_0
34561069088_68989748240_0
169353216_120595021824_0
121802719232_275415830528_0
8830924636160_17661447110656_0
34630803488_18049668916183040_0
17321426944_61676535676928_0
2456990785536_135006208_0
17716797440_17695737118720_0
18052546560_17695402115072_0
17449353216_8900919697408_0
53284438016_79371265118208_0
51543818304_17661311844352_0
34763964416_4530211246833664_0
4400060039168_9033690680131584_0
189382795264_8865349632000_0
17718837248_578791957875130368_0
34696335360_35391201871872_0
34764750848_5655974249496576_0
202900480_240788725760_0
34630270976_61779480936960_0
8758886400_22110827184128_0
2405585387520_13245746511872_0
35031875584_68988705808_0
35097937920_4521398240805888_0
51575455744_17661376331776_0
51541835776_35253595934720_0
86536880128_8968294895616_0
120395415552_36099303472103424_0
86440935424_88133198675968_0
17516987392_9036745670656_0
120661746752_538445824_0
34833694720_18120158323146752_0
35170156544_18073356599296_0
122272350208_137508687872_0
51942277120_17661449740288_0
120747720704_4328784896_0
35031614464_19877379178496_0
34765275648_4530057162784768_0
86034614272_30822564364288_0
130325938176_35322350010368_0
34901327872_4556720185802752_0
4535956275200_8916891074560_0
17317240832_52879972896768_0
204997632_35288260804608_0
103483179008_4767482954907648_0
34765029408_68724723728_0
19260506112_9311489097728_0
4707419949056_105759543132160_0
17649893376_17695809470464_0
2201036783616_4521320662433792_0
34831204352_30855581925376_0
120397496320_339234816_0
2216608399360_2295883425120256_0
34360015872_69223841792_0
120661753984_1081606144_0
86872424448_2269563865661440_0
86570697728_8830723819520_0
8899177611264_505430016_0
335806976_9174722805760_0
154652573696_52880107110400_0
436470784_532643184640_0
86035137536_4432744022016_0
249376669696_8813508034560_0
34766848000_17799957188608_0
120930435072_271188482_0
257832517632_8797974183936_0
1582082_8899642261504_0
4449861894144_44049319329792_0
249379160064_2216338395136_0
36440113152_7907756346441728_0
86705701888_8968026458112_0
4501128357888_2080374784_0
4449593458688_8865752547328_0
4466907545600_9042572873826304_0
4398451785728_9053891723264_0
34427904064_4521261472677888_0
103550025728_2269529439471616_0
4433077600256_123351729700864_0
86939533312_30820687413248_0
34630533120_63857709023232_0
60165324800_35253562376192_0
17316052992_8899442786304_0
36440113152_1135194216071168_0
34430132224_69659526144_0
120528061440_138112147456_0
34630283296_68855530496_0
103553171456_70506723155968_0
35300835328_619555332096_0
190455218176_9033656790155264_0
403440128_2261128482652160_0
51811189760_35253226317824_0
52215414784_92565403598848_0
4433212608512_2285124190208_0
34631852032_4512481754218496_0
