件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
20000000,00時間07分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間06分50秒,00時間00分03秒,00時間00分00秒,00時間07分14秒
40000000,00時間21分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間20分18秒,00時間00分28秒,00時間00分00秒,00時間28分23秒
60000000,00時間49分30秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間48分34秒,00時間00分23秒,00時間00分00秒,01時間17分53秒
80000000,01時間29分49秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,01時間27分47秒,00時間00分00秒,00時間00分00秒,02時間47分43秒
100000000,02時間17分28秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,02時間15分33秒,00時間00分00秒,00時間00分00秒,05時間05分11秒
