件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
4200000,00時間00分04秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分03秒,00時間00分00秒,00時間00分00秒,00時間03分32秒
4300000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分00秒,00時間00分00秒,00時間03分37秒
4400000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間03分43秒
4500000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間03分49秒
4600000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間03分54秒
4700000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分00秒
4800000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分05秒
4900000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分11秒
5000000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間04分16秒
5100000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分22秒
5200000,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分01秒,00時間00分00秒,00時間04分28秒
5300000,00時間00分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分04秒,00時間00分00秒,00時間00分00秒,00時間04分34秒
