件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
18000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分01秒,00時間00分00秒,00時間27分06秒
18100000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分15秒,00時間00分05秒,00時間00分00秒,00時間27分27秒
18200000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分01秒,00時間00分00秒,00時間28分02秒
18300000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間28分10秒
18400000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間28分18秒
18500000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分06秒,00時間00分00秒,00時間28分39秒
18600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間28分48秒
18700000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,00時間28分59秒
18800000,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分15秒,00時間00分04秒,00時間00分00秒,00時間29分18秒
18900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,00時間29分55秒
19000000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間30分04秒
19100000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間30分12秒
19200000,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分18秒,00時間00分01秒,00時間00分00秒,00時間30分32秒
19300000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間30分41秒
19400000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分09秒,00時間00分00秒,00時間30分58秒
19500000,00時間00分12秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分02秒,00時間00分00秒,00時間31分10秒
19600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間31分19秒
19700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間31分28秒
19800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分03秒,00時間00分00秒,00時間32分04秒
19900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間32分13秒
20000000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分06秒,00時間00分00秒,00時間32分34秒
20100000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間32分42秒
20200000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分04秒,00時間00分00秒,00時間32分52秒
20300000,00時間00分18秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分15秒,00時間00分02秒,00時間00分00秒,00時間33分10秒
20400000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間33分19秒
20500000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,00時間33分54秒
20600000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間34分03秒
20700000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間34分10秒
20800000,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間34分30秒
20900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間34分39秒
21000000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分08秒,00時間00分00秒,00時間34分54秒
21100000,00時間00分13秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分11秒,00時間00分01秒,00時間00分00秒,00時間35分07秒
21200000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間35分16秒
21300000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分09秒,00時間00分00秒,00時間35分32秒
21400000,00時間00分29秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分27秒,00時間00分02秒,00時間00分00秒,00時間36分01秒
21500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間36分10秒
21600000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分06秒,00時間00分00秒,00時間36分31秒
21700000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間36分38秒
21800000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分09秒,00時間00分00秒,00時間36分55秒
21900000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間37分06秒
22000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間37分14秒
22100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,00時間37分51秒
22200000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間38分00秒
22300000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分08秒,00時間00分00秒,00時間38分15秒
22400000,00時間00分12秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間38分28秒
22500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間38分36秒
22600000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間38分44秒
22700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間38分53秒
22800000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分06秒,00時間00分00秒,00時間39分14秒
22900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,00時間39分51秒
23000000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,00時間40分01秒
23100000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間40分09秒
23200000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間40分29秒
23300000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間40分37秒
23400000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分10秒,00時間00分09秒,00時間00分00秒,00時間40分58秒
23500000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間41分07秒
23600000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分04秒,00時間00分00秒,00時間41分17秒
23700000,00時間00分32秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分25秒,00時間00分00秒,00時間41分50秒
23800000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分02秒,00時間00分00秒,00時間42分02秒
23900000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分04秒,00時間00分00秒,00時間42分12秒
24000000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分18秒,00時間00分02秒,00時間00分00秒,00時間42分33秒
24100000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間42分40秒
24200000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間43分01秒
24300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,00時間43分38秒
24400000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間43分46秒
24500000,00時間00分13秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分07秒,00時間00分00秒,00時間43分59秒
24600000,00時間00分14秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分12秒,00時間00分01秒,00時間00分00秒,00時間44分14秒
24700000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,00時間44分24秒
24800000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,00時間44分59秒
24900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間45分08秒
25000000,00時間00分12秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分06秒,00時間00分00秒,00時間45分20秒
25100000,00時間00分15秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分13秒,00時間00分01秒,00時間00分00秒,00時間45分36秒
25200000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間45分45秒
25300000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間46分05秒
25400000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間46分13秒
25500000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,00時間46分50秒
25600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,00時間46分59秒
25700000,00時間00分12秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分06秒,00時間00分00秒,00時間47分12秒
25800000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分13秒,00時間00分02秒,00時間00分00秒,00時間47分29秒
25900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間47分37秒
26000000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,00時間47分47秒
26100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,00時間48分24秒
26200000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分03秒,00時間00分00秒,00時間48分33秒
26300000,00時間00分18秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分09秒,00時間00分00秒,00時間48分52秒
26400000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分01秒,00時間00分00秒,00時間49分01秒
26500000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間49分10秒
26600000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,00時間49分47秒
26700000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間49分54秒
26800000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分10秒,00時間00分00秒,00時間50分11秒
26900000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分10秒,00時間00分01秒,00時間00分00秒,00時間50分23秒
27000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間50分32秒
27100000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間50分40秒
27200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分02秒,00時間00分00秒,00時間51分17秒
27300000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間51分25秒
27400000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分12秒,00時間00分08秒,00時間00分00秒,00時間51分46秒
27500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間51分55秒
27600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間52分04秒
27700000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分29秒,00時間00分00秒,00時間52分40秒
27800000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間52分49秒
27900000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分09秒,00時間00分00秒,00時間53分07秒
28000000,00時間00分12秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分02秒,00時間00分00秒,00時間53分19秒
28100000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間53分27秒
28200000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,00時間53分37秒
28300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分02秒,00時間00分00秒,00時間54分14秒
28400000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分02秒,00時間00分00秒,00時間54分36秒
28500000,00時間01分05秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分02秒,00時間00分02秒,00時間00分00秒,00時間55分41秒
28600000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間55分50秒
28700000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間55分58秒
28800000,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分10秒,00時間00分00秒,00時間56分17秒
28900000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間56分26秒
29000000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,00時間56分36秒
29100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,00時間57分13秒
29200000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間57分21秒
29300000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分09秒,00時間00分00秒,00時間57分37秒
29400000,00時間00分13秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分10秒,00時間00分02秒,00時間00分00秒,00時間57分51秒
29500000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間57分58秒
29600000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,00時間58分09秒
29700000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,00時間58分45秒
29800000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分00秒,00時間00分00秒,00時間58分52秒
29900000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分05秒,00時間00分00秒,00時間59分04秒
30000000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間59分22秒
30100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,00時間59分59秒
30200000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分02秒,00時間00分00秒,01時間00分21秒
30300000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間00分56秒
30400000,00時間01分04秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分02秒,00時間00分01秒,00時間00分00秒,01時間02分01秒
30500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,01時間02分09秒
30600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間02分19秒
30700000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分16秒,00時間00分00秒,00時間00分00秒,01時間02分35秒
30800000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分00秒,00時間00分00秒,01時間02分46秒
30900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間02分55秒
31000000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,01時間03分04秒
31100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間03分40秒
31200000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間03分48秒
31300000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分11秒,00時間00分09秒,00時間00分00秒,01時間04分09秒
31400000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,01時間04分18秒
31500000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間04分28秒
31600000,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分18秒,00時間00分00秒,00時間00分00秒,01時間04分47秒
31700000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間04分58秒
31800000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,01時間05分35秒
31900000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分02秒,00時間00分00秒,01時間05分58秒
32000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分03秒,00時間00分00秒,01時間06分35秒
32100000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,01時間07分11秒
32200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間07分47秒
32300000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,01時間08分23秒
32400000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分02秒,00時間00分00秒,01時間08分45秒
32500000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,01時間09分22秒
32600000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分01秒,00時間00分00秒,01時間09分57秒
32700000,00時間00分34秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分00秒,00時間00分00秒,01時間10分32秒
32800000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分01秒,00時間00分00秒,01時間10分54秒
32900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間11分30秒
33000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,01時間12分08秒
33100000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間12分43秒
33200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間13分20秒
33300000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間13分57秒
33400000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分03秒,00時間00分00秒,01時間14分07秒
33500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間14分15秒
33600000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分00秒,00時間00分00秒,01時間14分26秒
33700000,00時間00分24秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分03秒,00時間00分00秒,01時間14分50秒
33800000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分03秒,00時間00分00秒,01時間15分28秒
33900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,01時間16分06秒
34000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間16分43秒
34100000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間17分19秒
34200000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分02秒,00時間00分00秒,01時間17分42秒
34300000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,01時間18分19秒
34400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分03秒,00時間00分00秒,01時間18分56秒
34500000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,01時間19分32秒
34600000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間20分08秒
34700000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間20分45秒
34800000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,01時間21分21秒
34900000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間21分56秒
35000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,01時間22分34秒
35100000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,01時間23分10秒
35200000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分01秒,00時間00分00秒,01時間23分31秒
35300000,00時間00分34秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分01秒,00時間00分00秒,01時間24分06秒
35400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,01時間24分43秒
35500000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,01時間25分20秒
35600000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分00秒,00時間00分00秒,01時間25分29秒
35700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間25分37秒
35800000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分07秒,00時間00分00秒,01時間25分59秒
35900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,01時間26分07秒
36000000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,01時間26分45秒
36100000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,01時間26分55秒
36200000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分00秒,00時間00分00秒,01時間27分02秒
