件数目,バッチ当たりの時間,経過時間
10000000,00時間03分08秒,00時間03分08秒
20000000,00時間04分01秒,00時間07分09秒
30000000,00時間07分50秒,00時間15分00秒
40000000,00時間11分53秒,00時間26分53秒
50000000,00時間18分31秒,00時間45分25秒
60000000,00時間24分13秒,01時間09分39秒
70000000,00時間33分09秒,01時間42分48秒
80000000,00時間49分32秒,02時間32分21秒
90000000,01時間03分16秒,03時間35分37秒
100000000,01時間14分05秒,04時間49分43秒
