要素数,実際の情報量,実際の情報量とarrayの差分,実際の情報量とndrrayの差分,配列のメモリ使用量,ndarrayのメモリ使用量
10000000,640000000,320,896,640000320,640000896
20000000,1280000000,320,896,1280000320,1280000896
30000000,1920000000,320,896,1920000320,1920000896
40000000,2560000000,320,896,2560000320,2560000896
50000000,3200000000,320,896,3200000320,3200000896
60000000,3840000000,320,896,3840000320,3840000896
70000000,4480000000,320,896,4480000320,4480000896
80000000,5120000000,640000576,896,5760000576,5120000896
90000000,5760000000,576,896,5760000576,5760000896
100000000,6400000000,800000576,896,7200000576,6400000896
110000000,7040000000,160000576,896,7200000576,7040000896
120000000,7680000000,960000576,896,8640000576,7680000896
130000000,8320000000,320000576,896,8640000576,8320000896
140000000,8960000000,1120000576,896,10080000576,8960000896
150000000,9600000000,480000576,896,10080000576,9600000896
160000000,10240000000,1280000576,896,11520000576,10240000896
170000000,10880000000,640000576,896,11520000576,10880000896
180000000,11520000000,576,896,11520000576,11520000896
190000000,12160000000,1520000576,896,13680000576,12160000896
200000000,12800000000,880000576,896,13680000576,12800000896
210000000,13440000000,240000576,896,13680000576,13440000896
220000000,14080000000,1760000576,896,15840000576,14080000896
230000000,14720000000,1120000576,896,15840000576,14720000896
240000000,15360000000,480000576,896,15840000576,15360000896
250000000,16000000000,2000000576,896,18000000576,16000000896
260000000,16640000000,1360000576,896,18000000576,16640000896
270000000,17280000000,720000576,896,18000000576,17280000896
280000000,17920000000,80000576,896,18000000576,17920000896
290000000,18560000000,2320000576,896,20880000576,18560000896
300000000,19200000000,1680000576,896,20880000576,19200000896
310000000,19840000000,1040000576,896,20880000576,19840000896
320000000,20480000000,400000576,896,20880000576,20480000896
330000000,21120000000,2640000576,896,23760000576,21120000896
340000000,21760000000,2000000576,896,23760000576,21760000896
350000000,22400000000,1360000576,896,23760000576,22400000896
360000000,23040000000,720000576,896,23760000576,23040000896
370000000,23680000000,80000576,896,23760000576,23680000896
380000000,24320000000,3040000576,896,27360000576,24320000896
390000000,24960000000,2400000576,896,27360000576,24960000896
400000000,25600000000,1760000576,896,27360000576,25600000896
410000000,26240000000,1120000576,896,27360000576,26240000896
420000000,26880000000,480000576,896,27360000576,26880000896
430000000,27520000000,3440000576,896,30960000576,27520000896
440000000,28160000000,2800000576,896,30960000576,28160000896
450000000,28800000000,2160000576,896,30960000576,28800000896
460000000,29440000000,1520000576,896,30960000576,29440000896
470000000,30080000000,880000576,896,30960000576,30080000896
480000000,30720000000,240000576,896,30960000576,30720000896
490000000,31360000000,3920000576,896,35280000576,31360000896
500000000,32000000000,3280000576,896,35280000576,32000000896
510000000,32640000000,2640000576,896,35280000576,32640000896
520000000,33280000000,2000000576,896,35280000576,33280000896
530000000,33920000000,1360000576,896,35280000576,33920000896
540000000,34560000000,720000576,896,35280000576,34560000896
550000000,35200000000,80000576,896,35280000576,35200000896
560000000,35840000000,4480000576,896,40320000576,35840000896
570000000,36480000000,3840000576,896,40320000576,36480000896
580000000,37120000000,3200000576,896,40320000576,37120000896
590000000,37760000000,2560000576,896,40320000576,37760000896
600000000,38400000000,1920000576,896,40320000576,38400000896
610000000,39040000000,1280000576,896,40320000576,39040000896
620000000,39680000000,640000576,896,40320000576,39680000896
630000000,40320000000,576,896,40320000576,40320000896
640000000,40960000000,5120000576,896,46080000576,40960000896
650000000,41600000000,4480000576,896,46080000576,41600000896
660000000,42240000000,3840000576,896,46080000576,42240000896
670000000,42880000000,3200000576,896,46080000576,42880000896
680000000,43520000000,2560000576,896,46080000576,43520000896
690000000,44160000000,1920000576,896,46080000576,44160000896
700000000,44800000000,1280000576,896,46080000576,44800000896
710000000,45440000000,640000576,896,46080000576,45440000896
720000000,46080000000,576,896,46080000576,46080000896
730000000,46720000000,5840000576,896,52560000576,46720000896
740000000,47360000000,5200000576,896,52560000576,47360000896
750000000,48000000000,4560000576,896,52560000576,48000000896
760000000,48640000000,3920000576,896,52560000576,48640000896
770000000,49280000000,3280000576,896,52560000576,49280000896
780000000,49920000000,2640000576,896,52560000576,49920000896
790000000,50560000000,2000000576,896,52560000576,50560000896
800000000,51200000000,1360000576,896,52560000576,51200000896
810000000,51840000000,720000576,896,52560000576,51840000896
820000000,52480000000,80000576,896,52560000576,52480000896
830000000,53120000000,6640000576,896,59760000576,53120000896
840000000,53760000000,6000000576,896,59760000576,53760000896
850000000,54400000000,5360000576,896,59760000576,54400000896
860000000,55040000000,4720000576,896,59760000576,55040000896
870000000,55680000000,4080000576,896,59760000576,55680000896
880000000,56320000000,3440000576,896,59760000576,56320000896
890000000,56960000000,2800000576,896,59760000576,56960000896
900000000,57600000000,2160000576,896,59760000576,57600000896
910000000,58240000000,1520000576,896,59760000576,58240000896
920000000,58880000000,880000576,896,59760000576,58880000896
930000000,59520000000,240000576,896,59760000576,59520000896
940000000,60160000000,7520000576,896,67680000576,60160000896
950000000,60800000000,6880000576,896,67680000576,60800000896
960000000,61440000000,6240000576,896,67680000576,61440000896
970000000,62080000000,5600000576,896,67680000576,62080000896
980000000,62720000000,4960000576,896,67680000576,62720000896
990000000,63360000000,4320000576,896,67680000576,63360000896
1000000000,64000000000,3680000576,896,67680000576,64000000896
