要素数,実際の情報量,実際の情報量とarrayの差分,実際の情報量とndrrayの差分,配列のメモリ使用量,ndarrayのメモリ使用量
1000000,64000000,320,896,64000320,64000896
2000000,128000000,320,896,128000320,128000896
3000000,192000000,320,896,192000320,192000896
4000000,256000000,320,896,256000320,256000896
5000000,320000000,320,896,320000320,320000896
6000000,384000000,320,896,384000320,384000896
7000000,448000000,320,896,448000320,448000896
8000000,512000000,64000576,896,576000576,512000896
9000000,576000000,576,896,576000576,576000896
10000000,640000000,80000576,896,720000576,640000896
11000000,704000000,16000576,896,720000576,704000896
12000000,768000000,96000576,896,864000576,768000896
13000000,832000000,32000576,896,864000576,832000896
14000000,896000000,112000576,896,1008000576,896000896
15000000,960000000,48000576,896,1008000576,960000896
16000000,1024000000,128000576,896,1152000576,1024000896
17000000,1088000000,64000576,896,1152000576,1088000896
18000000,1152000000,576,896,1152000576,1152000896
19000000,1216000000,152000576,896,1368000576,1216000896
20000000,1280000000,88000576,896,1368000576,1280000896
21000000,1344000000,24000576,896,1368000576,1344000896
22000000,1408000000,176000576,896,1584000576,1408000896
23000000,1472000000,112000576,896,1584000576,1472000896
24000000,1536000000,48000576,896,1584000576,1536000896
25000000,1600000000,200000576,896,1800000576,1600000896
26000000,1664000000,136000576,896,1800000576,1664000896
27000000,1728000000,72000576,896,1800000576,1728000896
28000000,1792000000,8000576,896,1800000576,1792000896
29000000,1856000000,232000576,896,2088000576,1856000896
30000000,1920000000,168000576,896,2088000576,1920000896
31000000,1984000000,104000576,896,2088000576,1984000896
32000000,2048000000,40000576,896,2088000576,2048000896
33000000,2112000000,264000576,896,2376000576,2112000896
34000000,2176000000,200000576,896,2376000576,2176000896
35000000,2240000000,136000576,896,2376000576,2240000896
36000000,2304000000,72000576,896,2376000576,2304000896
37000000,2368000000,8000576,896,2376000576,2368000896
38000000,2432000000,304000576,896,2736000576,2432000896
39000000,2496000000,240000576,896,2736000576,2496000896
40000000,2560000000,176000576,896,2736000576,2560000896
41000000,2624000000,112000576,896,2736000576,2624000896
42000000,2688000000,48000576,896,2736000576,2688000896
43000000,2752000000,344000576,896,3096000576,2752000896
44000000,2816000000,280000576,896,3096000576,2816000896
45000000,2880000000,216000576,896,3096000576,2880000896
46000000,2944000000,152000576,896,3096000576,2944000896
47000000,3008000000,88000576,896,3096000576,3008000896
48000000,3072000000,24000576,896,3096000576,3072000896
49000000,3136000000,392000576,896,3528000576,3136000896
50000000,3200000000,328000576,896,3528000576,3200000896
51000000,3264000000,264000576,896,3528000576,3264000896
52000000,3328000000,200000576,896,3528000576,3328000896
53000000,3392000000,136000576,896,3528000576,3392000896
54000000,3456000000,72000576,896,3528000576,3456000896
55000000,3520000000,8000576,896,3528000576,3520000896
56000000,3584000000,448000576,896,4032000576,3584000896
57000000,3648000000,384000576,896,4032000576,3648000896
58000000,3712000000,320000576,896,4032000576,3712000896
59000000,3776000000,256000576,896,4032000576,3776000896
60000000,3840000000,192000576,896,4032000576,3840000896
61000000,3904000000,128000576,896,4032000576,3904000896
62000000,3968000000,64000576,896,4032000576,3968000896
63000000,4032000000,576,896,4032000576,4032000896
64000000,4096000000,512000576,896,4608000576,4096000896
65000000,4160000000,448000576,896,4608000576,4160000896
66000000,4224000000,384000576,896,4608000576,4224000896
67000000,4288000000,320000576,896,4608000576,4288000896
68000000,4352000000,256000576,896,4608000576,4352000896
69000000,4416000000,192000576,896,4608000576,4416000896
70000000,4480000000,128000576,896,4608000576,4480000896
71000000,4544000000,64000576,896,4608000576,4544000896
72000000,4608000000,576,896,4608000576,4608000896
73000000,4672000000,584000576,896,5256000576,4672000896
74000000,4736000000,520000576,896,5256000576,4736000896
75000000,4800000000,456000576,896,5256000576,4800000896
76000000,4864000000,392000576,896,5256000576,4864000896
77000000,4928000000,328000576,896,5256000576,4928000896
78000000,4992000000,264000576,896,5256000576,4992000896
79000000,5056000000,200000576,896,5256000576,5056000896
80000000,5120000000,136000576,896,5256000576,5120000896
81000000,5184000000,72000576,896,5256000576,5184000896
82000000,5248000000,8000576,896,5256000576,5248000896
83000000,5312000000,664000576,896,5976000576,5312000896
84000000,5376000000,600000576,896,5976000576,5376000896
85000000,5440000000,536000576,896,5976000576,5440000896
86000000,5504000000,472000576,896,5976000576,5504000896
87000000,5568000000,408000576,896,5976000576,5568000896
88000000,5632000000,344000576,896,5976000576,5632000896
89000000,5696000000,280000576,896,5976000576,5696000896
90000000,5760000000,216000576,896,5976000576,5760000896
91000000,5824000000,152000576,896,5976000576,5824000896
92000000,5888000000,88000576,896,5976000576,5888000896
93000000,5952000000,24000576,896,5976000576,5952000896
94000000,6016000000,752000576,896,6768000576,6016000896
95000000,6080000000,688000576,896,6768000576,6080000896
96000000,6144000000,624000576,896,6768000576,6144000896
97000000,6208000000,560000576,896,6768000576,6208000896
98000000,6272000000,496000576,896,6768000576,6272000896
99000000,6336000000,432000576,896,6768000576,6336000896
100000000,6400000000,368000576,896,6768000576,6400000896
